id,organization,name,url,opens,deadline,amount,other_benefits,eligibility,area,flags,notes
horizon-public-service,Horizon Public Service,Horizon Public Service Fellowship,https://www.horizonpublicservice.org/programs/become-a-fellow/,~Jun,"~Sep 2, 2026","$113,000 (Fellows) or $75,000 (Junior Fellows) + $15,000 health + $3,000 prof dev + $3,000 relocation",Full-time DC placement; leadership development,Recent master's or doctoral graduates; green card holders eligible; full-time DC,Public Policy and Government,,Full-time post-graduate public service fellowship; not for current students
new-america-national-fellows,New America,National Fellows Program,https://www.newamerica.org/fellows/about/how-to-apply/,~Nov,"Feb 2, 2027","$15,000 to $30,000",Washington DC affiliation; publication support; policy network,US-based; welcomes international applicants; researchers and practitioners,Public Policy and Government,,Public policy research and writing fellowship
otf-icfp,Open Technology Fund,Information Controls Fellowship Program (ICFP),https://www.opentech.fund/fellowships/icfp,~Dec,"~Feb-Mar, 2027","$7,000/month + $1,250-$5,000 travel and equipment",Remote; international internet freedom research network,All nationalities except OFAC-sanctioned countries; US-eligible,AI and Tech Policy,,Internet freedom and censorship circumvention research focus
mozilla-fellowship,Mozilla Foundation,Mozilla Fellowship,https://foundation.mozilla.org/en/what-we-do/grantmaking/fellowship/,~Nov,"~Jan 30, 2027","Embedded: $100,000 total ($75,000 stipend + $25,000 project); Independent: $125,000 total ($100,000 + $25,000)",Global internet health network; no relocation required,US-eligible and select other countries; self-nomination accepted,AI and Tech Policy,Self-nomination (not closed invitation); verify eligible countries on website,"Internet health, privacy, and open web research focus"
princeton-citp,Princeton Center for Information Technology Policy,CITP Fellows Program,https://citp.princeton.edu/programs/fellows-program,~Oct,"~Dec 8, 2026",Fully funded; varies by track,Princeton NJ in-person; tech policy research community,US-eligible; graduate students and researchers; in-residence Princeton NJ,AI and Tech Policy,,Technology and information policy research focus; verify current cycle
tech-policy-press,Tech Policy Press,Tech Policy Press Fellowship,https://techpolicy.press/fellowships/,~Aug,"~Oct 15, 2026","$10,000",Remote; publication platform; editorial mentorship,"Remote; global including US; researchers, journalists, and policy professionals",AI and Tech Policy,,Technology policy writing and research fellowship
penn-csis-doctoral,Penn Center for Social Impact Strategy / Gradel,Oxford-Penn Social Impact Doctoral Fellows,https://csis.upenn.edu/residential-program/doctoral-fellows/,Verify on website,Verify on website,"GBP 3,000 + housing at UPenn (US-based residential program)",Residential program at University of Pennsylvania,Current PhD candidates; US-based program,Public Policy and Government,Verify current cycle dates; most recent confirmed cycle was 2024,US-based Penn residential program (distinct from Oxford UK posting)
nsf-grfp,National Science Foundation,Graduate Research Fellowship Program (GRFP),https://www.nsf.gov/funding/opportunities/grfp-nsf-graduate-research-fellowship-program,"Aug, 2026","Oct-Nov, 2026","$37,000/year stipend + $16,000 cost-of-education allowance; 3 of 5 years",Portable; use at any accredited US institution; prestige,"US citizens, nationals, or permanent residents; STEM including STEM education",STEM and Engineering,STEM and STEM education fields only,One of the most prestigious and portable US graduate fellowships
aauw-american-dissertation,AAUW,American Dissertation Fellowship,https://www.aauw.org/resources/programs/american-dissertation-fellowship-program/,"Aug 1, 2026","Sep 30, 2026","$25,000 for 12-month final-year dissertation writing","Flexible use: tuition, living, childcare, research",Must identify as a woman; US citizen or permanent resident; enrolled at accredited institution; first doctoral degree only; final dissertation year,Dissertation Completion,Women only; final dissertation year only; first doctoral degree only,Oldest non-institutional graduate funding source for women in the US
mellon-acls-dissertation,American Council of Learned Societies (ACLS),Mellon/ACLS Dissertation Innovation Fellowship,https://www.acls.org/competitions/mellon-acls-dissertation-innovation-fellowship/,~Aug,"Oct 28, 2026","$42,000 stipend + up to $8,000 research + $2,000 mentor",Mentorship; humanities and interpretive social sciences network,"US-eligible; CRITICAL EXCLUSIONS: EdD, education, public policy, public administration, law, STEM, social work, business not eligible; humanities and interpretive social sciences only",Humanities,"EXCLUDES EdD, education, public policy, public admin, law, STEM, social work, business. Humanities and interpretive social sciences ONLY.",Read exclusion list carefully before applying
naed-spencer-dissertation,National Academy of Education / Spencer Foundation,NAEd/Spencer Dissertation Fellowship,https://naeducation.org/naed-spencer-dissertation-fellowship/,~Aug,"~Oct 2, 2026","$27,500 for up to 2 years of dissertation writing",Professional development retreats; NAEd mentorship,Enrolled at US graduate school; US citizenship NOT required (includes undocumented); dissertation must focus on education in any discipline,Education Research,Dissertation must focus on education (broadly defined),35 awards/year; one of the most prestigious education research dissertation fellowships
abf-doctoral-fellowship,American Bar Foundation,ABF Doctoral Fellowship in Law and Inequality,https://www.americanbarfoundation.org/programs/,~Nov,"~Feb 22, 2027","$35,000/year up to 2 years","Chicago-based; sociolegal research community; AccessLex variant may offer up to $48,000","US citizens, nationals, or permanent residents; ABD social-science or sociolegal doctoral candidates; in-residence Chicago",Social Science,Social science and sociolegal research focus; in-residence Chicago required,Formerly ABF-LSA-NSF; verify current cycle and amount on ABF website
kauffman-knowledge-challenge,Ewing Marion Kauffman Foundation,Kauffman Knowledge Challenge,https://www.kauffman.org/grants/knowledge-challenge/,Biannual; verify on website,Biannual; verify on website,"Up to $30,000 for student/doctoral track",Entrepreneurship research network,US-eligible; doctoral students; entrepreneurship research focus,Social Science,Entrepreneurship and innovation research focus; biannual cycle,Note: standalone Kauffman Dissertation Fellowship discontinued 2018; this is the current grant program
rsf-dissertation-grants,Russell Sage Foundation,RSF Dissertation Research Grants,https://www.russellsage.org/apply/grants/dissertation,~Nov,"Feb 3, 2027","Up to $20,000",Social science research network,Enrolled ABD doctoral students at US institutions; US citizenship not required,Social Science,Social science research focus,Supports dissertation research in the social sciences
horowitz-foundation,Horowitz Foundation for Social Policy,Horowitz Foundation Research Grant,https://www.horowitz-foundation.org/grant-info,~Sep,"Dec 1, 2026","$10,000 total ($7,500 + $2,500 completion) + special awards up to +$5,000",Social policy research recognition,Current PhD or DrPH candidates (degree not yet received); US citizenship not required; social policy research,Social Science,Must not have received doctorate by application date,Social policy dissertation research focus; all social science disciplines
rand-gsap,RAND Corporation,Summer Associate Program (GSAP),https://www.rand.org/about/edu_op/fellowships/gsap.html,~Oct,"Dec 1, 2026","~$15,000 for 12-week summer term",Policy research mentorship; RAND network,"Must reside in US; full-time doctoral or professional students (PhD, EdD, and equivalent); not undergrad or postdoc",Public Policy and Government,EdD eligible; must reside in US during program,Summer policy research fellowship at RAND; broad policy fields
rand-cast,RAND Corporation,CAST Technology and Security Policy Fellowship,https://www.rand.org/global-and-emerging-risks/centers/ai-security-and-technology/fellows.html,Rolling,Rolling,"$40,000 to $200,000/year + health insurance",US and UK placements; security clearance pathway,US and UK citizens/work auth; security clearance required or anticipated; open to graduate students and researchers,AI and Tech Policy,Security clearance required; US and UK only,AI safety and technology policy; rolling admissions
jams-weinstein,JAMS Foundation,Weinstein JAMS International Fellowship,https://www.jamsadr.com/weinstein-fellowship,~Sep,"Nov 6, 2026","Up to $20,000",ADR and dispute resolution professional network,US-eligible; practitioners and researchers in alternative dispute resolution (ADR); not exclusively students,Social Science,"ADR field focus; open to practitioners, not exclusively graduate students",Alternative dispute resolution research and practice focus
ndseg,US Department of Defense,National Defense Science and Engineering Graduate (NDSEG) Fellowship,https://ndseg.org/eligibility,~Aug,"~Late fall, 2026","$43,200/year ($3,600/month) + full tuition and fees + up to $1,600 health insurance; 3 years",DoD national labs access; STEM leadership network,US citizens or nationals ONLY (permanent residents NOT eligible; dual citizens OK); first 2 years of graduate study in STEM/engineering; 3+ years remaining,STEM and Engineering,US citizens and nationals ONLY (no permanent residents); STEM and engineering fields only; early-stage graduate students only,Cannot be held simultaneously with NSF GRFP or other major fellowships
paul-daisy-soros,Paul and Daisy Soros Fellowships,Paul and Daisy Soros Fellowship for New Americans,https://www.pdsoros.org/eligibility/,Spring 2026,"Oct 29, 2026","Up to $90,000 total: $25,000/year stipend (2 years) + 50% tuition up to $20,000/year",New Americans community and network; Fall Conference paid,"Must be a New American: US citizen (naturalized or born to non-US-citizen parents), green card holder, asylee, refugee, or DACA recipient, OR graduated US high school and college; age 30 or younger; not past 3rd year of graduate program; all fields",Open Field,New Americans ONLY (immigrants or children of immigrants meeting specific criteria); age 30 or younger; not past 3rd year of grad program,For the 2027 Fellowship; any graduate or professional field at any US university
hertz-fellowship,Hertz Foundation,Hertz Fellowship,https://www.hertzfoundation.org/hertz-fellowship/who-can-apply/,"Late Aug, 2026","Late Oct, 2026","Up to $250,000 over 5 years: ~$44,000/year 9-month stipend + full tuition equivalent + ~$5,000/year dependents allowance",Mentorship; Hertz Fellows network; coordinates with other fellowships to maximize benefit,"US citizens or permanent residents; college seniors, first-year graduate students, or gap-year applicants; PhD in applied physical/biological sciences, math, or engineering at a US institution; no professional degrees (MD, JD, MBA)",STEM and Engineering,"STEM only: applied physical/biological sciences, math, engineering; PhD only; early-stage applicants only",One of the most prestigious and generous US STEM graduate fellowships
aera-minority-dissertation,American Educational Research Association (AERA),AERA Minority Dissertation Fellowship in Education Research,https://www.aera.net/Professional-Opportunities-Funding/AERA-Funding-Opportunities/Minority-Dissertation-Fellowship-Program,~Aug,"~Nov 10, 2026","Up to $25,000 + invited AERA poster session + mentoring and career workshop",AERA Annual Meeting participation; senior scholar mentorship,"US citizens or permanent residents who are members of underrepresented racial/ethnic minority groups in higher education (African Americans, Alaskan Natives, American Indians, Asian Americans, Hispanics/Latinos, Native Hawaiians/Pacific Islanders); ABD at dissertation writing stage; education, social science, humanities, or related disciplines",Education Research,Underrepresented racial and ethnic minority scholars ONLY; education research focus; ABD dissertation writing stage,Write-up fellowship; 1-year nonrenewable award beginning July
knight-hennessy,"Knight-Hennessy Scholars, Stanford University",Knight-Hennessy Scholars Program,https://knight-hennessy.stanford.edu/admission,Summer 2026,"Oct 6, 2026",Full funding up to 3 years: full tuition and fees + living stipend + annual travel stipend + one-time relocation stipend,King Global Leadership Program; Stanford network; multidisciplinary community,"Open to all nationalities including US; must apply to and be admitted to a full-time Stanford graduate program (MA, MS, MBA, JD, MD, MFA, PhD); bachelor's earned Jan 2019 or later (for 2027 cohort); all fields",Open Field,Requires concurrent admission to a Stanford graduate program; bachelor's degree recency requirement,World's largest fully endowed university-wide graduate fellowship program; ~100 scholars per year
nasa-jenkins,NASA,Harriett G. Jenkins Predoctoral Fellowship (JPFP),https://intern.nasa.gov,Verify at intern.nasa.gov,Verify at intern.nasa.gov,"~$27,000/year stipend (PhD) or ~$22,000 (Master's) + ~$8,500-$10,000 tuition offset + ~$8,000 for 10-week NASA Center research experience; up to 3 years",NASA Center research experience; STEM leadership network,"US citizens; STEM/NASA-related fields; master's and doctoral students; aimed at underrepresented groups (women, minorities, persons with disabilities)",STEM and Engineering,VERIFY current cycle is open at intern.nasa.gov (OSSI); federal program subject to funding availability; STEM fields; diversity-focused,Apply through NASA One Stop Shopping Initiative (OSSI) at intern.nasa.gov; select Fellowship type
peo-scholar-awards,P.E.O. International,P.E.O. Scholar Awards,https://www.peointernational.org/educational-support/scholar-awards/eligibility-and-application-process/,"Aug 20, 2026","Nov 20, 2026","Up to $25,000 (one-time merit award)",P.E.O. Sisterhood network,Must identify as a woman; US or Canada citizen or legal permanent resident; enrolled in doctoral program at accredited US or Canadian institution; within 2 years of graduation with at least 1 full academic year remaining; all fields,Dissertation Completion,Women only; must be NOMINATED by a local P.E.O. chapter (contact your nearest chapter to initiate); within 2 years of graduation,Nomination window Aug 20-Nov 20; contact a local P.E.O. Sisterhood chapter to be nominated before applying
newcombe-dissertation,Charlotte W. Newcombe Foundation,Charlotte W. Newcombe Doctoral Dissertation Fellowship,https://newcombefoundation.org/fellowships/,"Aug 1, 2026","Nov 1, 2026","$31,000 for 12 months of final-year dissertation writing; graduate schools asked to waive tuition and fees",Tuition waiver request to institution; health insurance maintained,"PhD candidates at accredited US graduate schools in humanities or social sciences in the final dissertation writing stage; US citizenship not required; EdD, JD, PsyD, DMin and other professional degrees NOT eligible; STEM only if religion/ethics/values are central",Humanities,"EXCLUDES EdD and other professional degrees; topic MUST centrally address religion, ethics, morals, or values; humanities and social sciences only","Nation's largest award for PhD candidates addressing religion, ethics, or values; use Program Key CWNF to apply"
gem-consortium,National GEM Consortium,GEM Fellowship,https://www.gemfellowship.org/gem-fellowship-program/,~Sep,"~Nov 14, 2026","Full tuition and fees at GEM member university + $16,000 first-year stipend + continued departmental funding through year 5 (PhD) + at least 1 paid summer internship with a GEM employer",Paid employer internship; GEM employer and university network,"US citizens or permanent residents; underrepresented minority students (Black, Hispanic, Native American) in STEM; master's and doctoral students in applied science and engineering; must apply to at least 3 GEM member universities",STEM and Engineering,Underrepresented minority students ONLY; STEM and engineering fields only; must apply to 3+ GEM member universities simultaneously,"Presidential Award-winning program; 5,000+ STEM leaders trained; strong full-funding package"
apsa-centennial-center,American Political Science Association,Centennial Center Research Grants,https://connect.apsanet.org/centennialcenter/research-grants/,~Jun,Summer cycle: verify on apsanet.org (Spring Mar 15 cycle closed),"Up to $2,500 (individual grant; APSA offers $40,000+ total annually)",APSA professional network; political science research visibility,APSA members; graduate students at any stage from any institution welcome; priority to those with limited departmental resources; APSA membership required throughout grant period,Social Science,"Small award: up to $2,500, research costs only (not a living stipend); APSA membership required; cannot have received Centennial Center funding in prior 4 years","Research costs only: data collection, software, travel to archives; not for living expenses. Spring cycle closed; summer cycle dates vary - verify on website."
smithsonian-predoctoral,Smithsonian Institution,Smithsonian Institution Fellowship Program (Predoctoral),https://fellowships.si.edu/opportunity/smithsonian-institution-fellowship-program-sifp,~Jul,"~Oct 15, 2026","~$45,000/year stipend + up to $5,000 research allowance",In-residence at Smithsonian facilities; collections and research infrastructure access,PhD candidates conducting dissertation research; university must certify all requirements except dissertation are met before start; in-residence at Smithsonian (3-12 months); all nationalities; US-based study,Dissertation Completion,In-residence at Smithsonian required; research must align with Smithsonian collections and research areas; doctoral candidate stage,Broad disciplinary range; research must connect to Smithsonian research interests
hhmi-gilliam,Howard Hughes Medical Institute (HHMI),Gilliam Fellowship for Advanced Study,https://www.hhmi.org/programs/gilliam-fellows,"Sep 1, 2026","Oct 27, 2026","~$50,000/year for up to 3 years (stipend + discretionary + institutional tuition/fees allowance + community engagement allowance)",Advisor mentorship development course; Gilliam Annual Meeting; HHMI Science Meetings,"2nd or 3rd-year PhD students with 2+ years remaining in biological or biomedical PhD or dual-degree program at an HHMI-eligible US institution; US citizens, permanent residents, DACA, or international students eligible to receive funding at their institution",STEM and Engineering,Biological and biomedical PhD ONLY; must apply jointly as an advisor-student pair; diversity and inclusion focused; CANNOT be held concurrently with NSF GRFP or NIH F31; verify open vs nomination-based at your institution,"Application opens Sept 1 via HHMI ARC system; current HHMI page says open competition (no nomination), but verify with your institution"
aauw-selected-professions,AAUW,Selected Professions Fellowship,https://www.aauw.org/resources/programs/fellowships-grants/selected-professions-fellowship-program/,"Aug 1, 2026","Sep 30, 2026","$20,000 stipend (paid in 2 installments)",AAUW professional network,"Must identify as a woman; US citizen or permanent resident; pursuing FIRST full-time master's or professional degree in designated STEM/underrepresented fields (engineering, computer science, architecture, math/statistics, select medical programs); no prior graduate degree",Dissertation Completion,Women only; STEM and designated professional fields ONLY; first graduate degree only (no prior master's or doctoral degree),"Fellowship year July 1 to June 30; fields include architecture, CS/AI, engineering, math, physical sciences"
doe-csgf,US Department of Energy,Computational Science Graduate Fellowship (CSGF),https://www.krellinst.org/csgf/about-doe-csgf/eligibility-program-requirements,"~Oct, 2026","~Mid-Jan, 2027","$45,000/year stipend + full tuition and fees + $5,000 first-year academic allowance ($1,000/renewed year); up to 4 years",12-week practicum at a DOE national lab; annual DC program review; interdisciplinary STEM community,"US citizens or lawful permanent residents; full-time PhD study at an accredited US university; engineering, physical, computer, mathematical, or life sciences using high-performance computing; college seniors, first-year grad students, or matriculating students",STEM and Engineering,Computational science and HPC focus; engineering and sciences only; early-stage applicants,Established 1991; 675+ fellows trained; strong HPC and DOE national lab connection
nih-f31,National Institutes of Health (NIH),Ruth L. Kirschstein NRSA Individual Predoctoral Fellowship (F31),https://grants.nih.gov/grants/guide/pa-files/PA-25-422.html,Continuous (standard NIH due dates),"~Apr 8, Aug 8, or Dec 8 annually","Predoctoral stipend (single level, set annually by NIH; ~$28,000+ in recent years) + 60% of tuition up to $16,000/year + institutional allowance for health, supplies, books, travel; up to 5 years",NIH institute affiliation; prestige; mentored research training,"US citizens or permanent residents; enrolled in research doctoral program (PhD, EdD, DrPH, ScD, and equivalent) in biomedical, behavioral, or clinical health-related fields at a US institution; must identify a faculty sponsor before applying",STEM and Engineering,"Biomedical, behavioral, and clinical health-related research fields only; faculty sponsor required; cannot be held with another federal fellowship providing stipend",Current announcement PA-25-422; FY2026 stipend levels confirmed; check NIH for current stipend rate
josephine-de-karman,Josephine de Karman Fellowship Trust / Pasadena Community Foundation,Josephine de Karman Fellowship,https://pasadenacf.org/programs/scholarships/josephine-de-karman-trust-fellowship/,"Aug 1, 2026","Jan 29, 2027","$28,000 for one academic year (fall and spring); 4 awards per cycle",Dissertation completion support; humanities priority consideration,"Final-year PhD candidates defending in or around June 2028; currently enrolled at a specific list of California universities ONLY (Caltech, Stanford, UC Berkeley, UC Davis, UC Irvine, UCLA, UC Riverside, UC San Diego, UC Santa Barbara, UC Santa Cruz, USC); all disciplines including international students; no undergrads, master's, JD, or postdocs",Humanities,CURRENTLY RESTRICTED to PhD students at listed California universities ONLY; verify your institution is on the eligible list; final dissertation year only; special consideration for humanities,Under new Pasadena Community Foundation stewardship since 2023; eligibility narrowed to California institutions
asa-ddrig,American Sociological Association (ASA),ASA Doctoral Dissertation Research Improvement Grants (ASA DDRIG),https://www.asanet.org/academic-professional-resources/asa-grants-and-fellowships/asa-doctoral-dissertation-research-improvement-grants-asa-ddrig/,"Aug 1, 2026","Nov 2, 2026","Up to $16,000; up to 25 awards/year",ASA professional network; political science and social science research visibility,Doctoral student enrolled at a PhD-granting institution physically located in the US; completed pre-dissertation requirements; conducting empirical dissertation research in any sociological subfield; must have a faculty sponsor; may not have previously received any NSF-funded DDRIG,Social Science,Sociological research focus; research-cost grant (not a living stipend); faculty sponsor required; prior NSF-funded DDRIG recipients not eligible; 2027 cycle contingent on continued NSF funding,NSF-funded through ASA; program funded through 2028; open to any sociological subfield regardless of method
wenner-gren-dissertation,Wenner-Gren Foundation,Wenner-Gren Dissertation Fieldwork Grant,https://wennergren.org/program/dissertation-fieldwork-grant/,"Sep 1, 2026","Nov 1, 2026","Up to $25,000 (nonrenewable research grant)","Covers travel, living expenses during fieldwork, research assistance, software, and other direct research costs",Doctoral students enrolled in anthropology or related fields conducting dissertation fieldwork; all nationalities; must have a dissertation supervisor at same institution; all requirements except dissertation must be met before start date,Social Science,"Anthropology and related fields only; all nationalities eligible (not US-restricted); research-cost grant, not a living stipend","Two cycles/year: May 1 and Nov 1. No preference for methodology, location, topic, or subfield. Review takes 6 months."
pallas-fellowship,Pallas Foundation,Pallas Foundation Fellowship,https://www.pallasfoundation.org/fellowship-program,"Jun 23, 2026","Jul 10, 2026",Paid; verify stipend amount on website,"Washington DC placement; access to senior DoD, State Department, NSC, and Intelligence Community officials; professional development programming; career guidance and job placement support","Graduate students, recent graduates, and current seniors; interest in national security, defense, AI, cyber, and technology policy; DC-based (hybrid format)",AI and Tech Policy,"Deadline July 10, 2026 (urgent); paid amount not publicly listed; verify compensation on website; consulting-placement format",Fall 2026 cohort. Fellows support operational and research functions at Pallas Advisors consultancy. Weekly professional development programming included.
aaas-mass-media-fellowship,American Association for the Advancement of Science (AAAS),AAAS Mass Media Science and Engineering Fellowship,https://www.aaas.org/programs/mass-media-fellowship,~Nov 2026,"~Jan 15, 2027",$600/week stipend for 10-week summer term,Placement at major US news outlet; science communication training; AAAS professional network,"Advanced undergraduate and graduate students in natural sciences, social sciences, or engineering at US institutions; US-eligible; all disciplines",Public Policy and Government,Summer placement at a news organization; science communication and media focus; not a research fellowship,"Places fellows at major newspapers, magazines, TV, and radio stations to report on science and policy. Strong for science-policy communication careers."
truman-scholarship,Harry S. Truman Scholarship Foundation,Truman Scholarship,https://www.truman.gov/are-you-candidate/,~Sep 2026,"~Feb 1, 2027","Up to $30,000 for graduate study (one-time)",Truman Scholar community; public service career development; priority consideration at select graduate programs,US citizens; junior-year undergraduates or recent graduates planning graduate study in public service fields; must be nominated by institution; intent to pursue public service career,Public Policy and Government,Primarily for current juniors or recent undergrads (not current graduate students); institution nomination required; public service career intent required,"One of the most prestigious US public service scholarships. Supports graduate study in preparation for careers in government, nonprofit, or public service."
harry-frank-guggenheim,Harry Frank Guggenheim Foundation,Harry Frank Guggenheim Emerging Scholar Award,https://www.hfg.org/hfg-research/emerging-scholars-program/,~Aug 2026,"~Jan 1, 2027","$20,000 (dissertation research grant)",HFG research network; access to foundation scholars working on violence and aggression,"Doctoral candidates writing dissertations on violence, aggression, and dominance (biological, social, cultural, psychological lenses); all nationalities; enrolled at institution anywhere in world; US-eligible",Social Science,"Research must address violence, aggression, or dominance as central theme; dissertation stage only; competitive (approximately 10 awards/year)","Supports dissertation research examining causes and control of violence, aggression, and dominance. Broad disciplinary scope including sociology, psychology, political science, anthropology, criminology."
